LOT,LOT_DATA_COLLECT_DATE,ENTITY,MONITOR_SET_NAME,TEST_NAME,MEASUREMENT_SET_NAME,LO_CONTROL_LMT,UP_CONTROL_LMT,RESIST,CHART_PT_VALID_FLAG,CR_VALUE,RAW_WAFER,X_COORDINATE,Y_COORDINATE,SLOT
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3372.969971,AANBC117TEG2,-19.3019,57.9062,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3373.649902,AANBC117TEG2,-71.1902,61.8829,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3391.280029,AANBC117TEG2,-136.2,57.9062,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3367.840088,AANBC117TEG2,-96.51,96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.399902,AANBC117TEG2,-57.9062,96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3367.02002,AANBC117TEG2,19.3019,96.51,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3358.72998,AANBC117TEG2,71.2039,127.428,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3365.139893,AANBC117TEG2,0.0067,127.428,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3388.560059,AANBC117TEG2,-57.9062,136.2,9
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3377.51001,AANBC142TEF7,-57.9062,-136.2,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3358.01001,AANBC142TEF7,0.0067,-134.7529999,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3380.100098,AANBC142TEF7,57.9062,-136.2,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3359.169922,AANBC142TEF7,96.51,-96.51,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.659912,AANBC142TEF7,19.3019,-96.51,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3366.52002,AANBC142TEF7,-57.9062,-96.51,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3379.5,AANBC142TEF7,-136.2,-57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3365.5,AANBC142TEF7,-96.51,-57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.790039,AANBC142TEF7,-47.4578,-36.4348,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3373.030029,AANBC142TEF7,-19.3019,-57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3368.709961,AANBC142TEF7,71.2039,-69.2075,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3364.679932,AANBC142TEF7,142.401,-36.4348,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.919922,AANBC142TEF7,71.2039,-3.6622,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3376.659912,AANBC142TEF7,19.3019,-19.3019,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3363.870117,AANBC142TEF7,-118.655,-3.6622,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.889893,AANBC142TEF7,-57.9062,19.3019,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3378.23999,AANBC142TEF7,0.0067,-3.6622,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3377.5,AANBC142TEF7,19.3019,19.3019,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3369.719971,AANBC142TEF7,96.51,19.3019,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3362.139893,AANBC142TEF7,136.2,19.3019,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3383.699951,AANBC142TEF7,136.2,57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3370.919922,AANBC142TEF7,94.9361,61.8829,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.850098,AANBC142TEF7,57.9062,57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3371.389893,AANBC142TEF7,-19.3019,57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3367.699951,AANBC142TEF7,-71.1902,61.8829,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3380.290039,AANBC142TEF7,-136.2,57.9062,11
J427T800,2026-03-03 18:19:22,TTB134,KRF.RESIST_THICKNESS.MFG.MON,MFGM484CDTFK,KRF.THICKNESS.MFG,3355,3395,M484C,Y,3361.76001,AANBC142TEF7,-96.51,96.51,11
